position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
2007,MediEvil / (c-12) Final Resistance,PS,Sony Computer Entertainment  ,SCEE  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,09th May 03  ,N/A
2008,Mega Man Legends 2,PS,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th Oct 00  ,N/A
2009,Mega Man X3,PS,Virgin Interactive  ,Capcom  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jul 97  ,N/A
2010,Meitantei Conan,PS,Bandai  ,Bandai  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,19th Nov 98  ,N/A
2011,Meitantei Conan: 3-Jin no Meitantei,PS,Bandai  ,Bandai  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,10th Aug 00  ,N/A
2012,Meitantei Conan: Saikou no Aibou,PS,Bandai  ,Bandai  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Apr 02  ,N/A
2013,Meitantei Conan: Trick Trick Vol. 1,PS,Bandai  ,Kamui  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th Apr 03  ,N/A
2014,Melty Lancer: Ginga Shoujo Keisatsu 2086,PS,Imagineer  ,Tenky  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Mar 96  ,N/A
2015,Melty Lancer: Re-inforce,PS,Imadio  ,Tenky  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th Dec 97  ,N/A
2016,Melty Lancer: The 3rd Planet,PS,Konami  ,Tenky  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th Jun 99  ,N/A
2017,Memorial * Series: Sunsoft Vol. 5: Raf World / Hebereke,PS,Sunsoft  ,Microvision  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Mar 02  ,N/A
2018,Memories Off,PS,KID  ,KID  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Sep 99  ,N/A
2019,Memories Off 2nd,PS,KID  ,KID  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,27th Sep 01  ,N/A
2020,Men in Black: The Game,PS,Gremlin Interactive Ltd  ,Double Helix Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th Apr 98  ,N/A
2021,Mermaid no Kisetsu,PS,NetVillage  ,NetVillage  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,13th Dec 01  ,N/A
2022,Mermaid no Kisetsu: Curtain Call,PS,NetVillage  ,NetVillage  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Aug 02  ,N/A
2023,Metal Slug,PS,SNK  ,SNK Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,07th Aug 97  ,N/A
2024,Metamoru Panic: Doki Doki Youma Busters!!,PS,Family Soft  ,Family Soft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Dec 95  ,N/A
2025,Mickey's Wild Adventure,PS,Sony Computer Entertainment  ,Traveller's Tales  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Mar 96  ,N/A
2026,Midway Presents Arcade's Greatest Hits: The Atari Collection 2,PS,Midway Games  ,Digital Eclipse  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Dec 97  ,N/A
2027,Midway Presents Arcade's Greatest Hits: The Midway Collection 2,PS,Midway Games  ,Digital Eclipse  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Nov 97  ,N/A
2028,Mikagura Shoujo Tanteidan,PS,Human Entertainment  ,Human Club  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th Sep 98  ,N/A
2029,Milky Season,PS,KID  ,KID Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Feb 02  ,N/A
2030,Mini-Yonku Bakusou Kyoudai: Let's & Go!! WGP Hyper Heat,PS,Jaleco  ,Jaleco Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,20th Nov 97  ,N/A
2031,Minna no Othello,PS,Success  ,Success  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Feb 02  ,N/A
2032,Miracle Space Race,PS,Mud Duck Productions  ,Miracle Designs  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,06th May 03  ,N/A
2033,Mitsumete Knight,PS,Konami  ,Konami Computer Entertainment Tokyo  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,19th Mar 98  ,N/A
2034,Mitsumete Knight R,PS,Konami  ,Konami Computer Entertainment Shinjuku  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Nov 98  ,N/A
2035,Mizutani Junko: Believer Dreamer,PS,Antinos Records  ,Antinos Records  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,21st Jun 96  ,N/A
2036,MLB 2004,PS,Sony Computer Entertainment  ,989 Sports  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Apr 03  ,N/A
2037,Mobile Armor,PS,Agetec  ,Highwaystar  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 02  ,N/A
2038,Mobile Light Force,PS,XS Games  ,Psikyo  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,19th Mar 03  ,N/A
2039,Mobile Suit Gundam: Char's Counterattack,PS,Bandai  ,Bandai  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th Dec 98  ,N/A
2040,Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu- Kouryaku Shireisho,PS,Bandai  ,Bandai  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Jun 00  ,N/A
2041,Money Idol Exchanger,PS,Athena  ,FACE  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,05th Nov 98  ,N/A
2042,Monster * Race,PS,KOEI  ,Koei/Inis  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th Dec 98  ,N/A
2043,Monster Bass!,PS,XS Games  ,Magical Company  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 02  ,N/A
2044,Moon Cresta,PS,Hamster Corporation  ,Nichibutsu  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,20th Jun 02  ,N/A
2045,Mortal Kombat II,PS,Acclaim Entertainment  ,Probe Entertainment Limited  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,02nd Aug 96  ,N/A
2046,Motocross Mania 2,PS,Gotham Games  ,Alpine Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Jun 03  ,N/A
2047,Motor Toon Grand Prix,PS,Sony Computer Entertainment  ,Sony Computer Entertainment Japan  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Oct 96  ,N/A
2048,Mr. Driller G,PS,Namco  ,Namco  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Nov 01  ,N/A
2049,MTV Celebrity Deathmatch,PS,Gotham Games  ,Big Ape Productions  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,21st Oct 03  ,N/A
2050,MTV's Beavis and Butt-Head: Virtual Aho Shoukougun,PS,B-Factory  ,Viacom New Media  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Jan 98  ,N/A
2051,Muscle Ranking - Kinniku Banzuke: Road to Sasuke,PS,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,27th Apr 00  ,N/A
2052,Music: Music Creation for the PlayStation,PS,Codemasters  ,Jester Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Nov 98  ,N/A
2053,Muteki-Oh Tri-Zenon,PS,Marvelous Interactive  ,Marvelous  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,15th Mar 01  ,N/A
2054,My Garden,PS,TechnoSoft  ,"TechnoSoft Co., Ltd.  ",N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,02nd Sep 99  ,N/A
2055,My Home Dream,PS,Victor Interactive  ,Victor Interactive Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th Jul 97  ,N/A
