position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
645,Xtreme Sports,DC,Infogrames  ,Innerloop  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,27th Nov 00  ,N/A
646,Yoshia no Oka de Nekoronde...,DC,Naxat Soft  ,Naxat Soft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,20th Dec 01  ,N/A
647,Yukawa Moto Senmu no Okatara Ikushi,DC,Sega  ,Smilebit  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,20th Mar 99  ,N/A
648,Yuki Katari,DC,Takuyo  ,Takuyo  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Dec 02  ,N/A
649,Yume no Tsubasa: Fate of Heart,DC,KID  ,KID  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Jul 01  ,N/A
650,Yume Uma Ken '99 Internet,DC,Shangri-La  ,Shangri-La  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,21st Oct 99  ,N/A
651,Yuukyuu Gensou Kyoku 3: Perpetual Blue,DC,Media Works  ,Media Works  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Dec 99  ,N/A
652,Zero Gunner 2,DC,Psikyo  ,Psikyo  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,06th Sep 01  ,N/A
653,Zombie Revenge,DC,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Dec 99  ,N/A
654,Zusar Vasar,DC,Real Vision  ,Real Vision  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,27th Jul 00  ,N/A
655,Xeno Crisis,DC,Unknown  ,Bitmap Bureau  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,07th Feb 19
