position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
295,Die Hard Arcade,SAT,Sega  ,Sega-AM1  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,08th Apr 97  ,N/A
296,Die Hard Trilogy,SAT,Fox Interactive  ,Probe Entertainment Limited  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,21st Jan 97  ,N/A
297,Digital Dance Mix Vol. 1: Namie Amuro,SAT,Sega  ,Sega-AM2  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,10th Jan 97  ,N/A
298,Digital Monsters Ver. S: Digimon Tamers,SAT,Bandai  ,Bandai  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,23rd Sep 98  ,N/A
299,Digital Pinball: Necronomicon,SAT,Kaze  ,KAZe Co.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,15th Nov 96  ,N/A
300,Discworld,SAT,Psygnosis  ,Perfect Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96  ,N/A
301,Discworld II: Missing Presumed...?!,SAT,Sega  ,Perfect Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 97  ,N/A
302,DJ Wars,SAT,Spike  ,Exit  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,18th Dec 97  ,N/A
303,DoDonPachi,SAT,Atlus  ,Cave  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,18th Sep 97  ,N/A
304,DonPachi,SAT,Atlus  ,Nihon Falcom Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Apr 96  ,N/A
305,Doom,SAT,GT Interactive  ,Rage Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Mar 97  ,N/A
306,Doraemon: Nobi Futo to Fukkatsu no Hoshi,SAT,Epoch  ,Epoch  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,15th Mar 96  ,N/A
307,Double Switch,SAT,Digital Pictures  ,Digital Pictures  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 95  ,N/A
308,Doukoku Soshite...,SAT,Data East  ,Data East Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Feb 98  ,N/A
309,Dragon Master Silk,SAT,Datam Polystar  ,Datam Polystar  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Mar 97  ,N/A
310,DragonHeart: Fire & Steel,SAT,Acclaim Entertainment  ,Funcom  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96  ,N/A
311,Duke Nukem 3D,SAT,Sega  ,Lobotomy Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 97  ,N/A
312,Dungeons & Dragons: Shadow over Mystara,SAT,Capcom  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96  ,N/A
313,Dungeons & Dragons: Tower of Doom,SAT,Capcom  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 99  ,N/A
314,DX Game of Life,SAT,Takara  ,Takara  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,15th Dec 95  ,N/A
315,DX Game of Life 2,SAT,Takara  ,Takara  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th Jul 97  ,N/A
316,Earthworm Jim 2,SAT,Playmates  ,Screaming Pink  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96  ,N/A
317,Eberouge,SAT,Takara  ,Fujitsu  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th May 97  ,N/A
318,Eberouge Special: Koi to Mahou no Gakuen Seikatsu,SAT,Takara  ,Fujitsu  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,11th Jun 98  ,N/A
319,Elevator Action Returns,SAT,Unknown  ,Ving  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,14th Feb 97  ,N/A
320,EMIT Vol.1: Toki no Maigo,SAT,KOEI  ,Koei  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Mar 95  ,N/A
321,EMIT Vol.2: Meigake no Tabi,SAT,KOEI  ,Koei  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Apr 95  ,N/A
322,EMIT Vol.3: Watashi ni Sayonara o,SAT,KOEI  ,Koei  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Apr 95  ,N/A
323,EMIT: Value Set,SAT,KOEI  ,Koei  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,15th Dec 95  ,N/A
324,Falcom Classics,SAT,Victor Interactive  ,Nihon Falcom Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,06th Nov 97  ,N/A
325,Falcom Classics Collection,SAT,Victor Interactive  ,Nihon Falcom Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th Mar 99  ,N/A
326,Falcom Classics II,SAT,Victor Interactive  ,Nihon Falcom Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Oct 98  ,N/A
327,Fantastic Pinball Kyutenkai,SAT,TechnoSoft  ,"TechnoSoft Co., Ltd.  ",N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Aug 95  ,N/A
328,Farland Saga: Toki no Douhyou,SAT,TGL  ,TGL  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,03rd Dec 98  ,N/A
329,FEDA Remake! The Emblem of Justice,SAT,Yanoman  ,Max Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th May 96  ,N/A
330,FIFA Soccer 96,SAT,EA Sports  ,Probe Entertainment Limited  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96  ,N/A
331,FIFA Soccer 97,SAT,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 97  ,N/A
332,FIFA: Road to World Cup 98,SAT,EA Sports  ,Climax Group  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Dec 97  ,N/A
333,Fighter's History Dynamite,SAT,Data East  ,Data East  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th Jul 97  ,N/A
334,Final Fight Revenge,SAT,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Mar 00  ,N/A
335,Find Love 2: Rhapsody,SAT,Daiki  ,Daiki  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Nov 98  ,N/A
336,Find Love 2: The Prologue,SAT,Daiki  ,Daiki  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th Jun 98  ,N/A
337,Fishing Koshien,SAT,King Records  ,A-Wave  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,15th Mar 96  ,N/A
338,Flash Sega Saturn: Ochikazuki-hen,SAT,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96  ,N/A
339,Formula Karts: Special Edition,SAT,Sega  ,Manic Media Productions  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 97  ,N/A
340,Frank Thomas Big Hurt Baseball,SAT,Acclaim Entertainment  ,Iguana Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96  ,N/A
341,Friends: Seishun no Kagayaki,SAT,NEC Interchannel   ,NEC Interchannel  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Apr 99  ,N/A
342,Gaia Breeder,SAT,Aspect  ,Aspect  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,27th Nov 97  ,N/A
343,Gakkou no Kaidan,SAT,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,14th Jul 95  ,N/A
344,Gakkou no Kowai Uwasa: Hanako-San ga Kita!!,SAT,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,11th Aug 95  ,N/A
345,Gals Panic SS,SAT,Mycom  ,Kaneko  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,27th Sep 96  ,N/A
346,Game Nihonishi: Kakumeiko Oda Nobunaga,SAT,KOEI  ,Koei  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th Apr 97  ,N/A
347,Game no Tatsujin,SAT,Sunsoft  ,SunSoft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,09th Jun 95  ,N/A
348,Game Tengoku: The Game Paradise!,SAT,Jaleco  ,Jaleco Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,06th Jun 97  ,N/A
349,Game-Ware Vol.1,SAT,General Entertainment  ,General Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,05th Apr 96  ,N/A
350,Game-Ware Vol.2,SAT,General Entertainment  ,General Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,05th Jul 96  ,N/A
351,Game-Ware Vol.3,SAT,General Entertainment  ,General Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th Oct 96  ,N/A
352,Game-Ware Vol.4,SAT,General Entertainment  ,General Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,07th Mar 97  ,N/A
353,Game-Ware Vol.5,SAT,General Entertainment  ,General Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,27th Jun 97  ,N/A
354,Gegege no Kitarou: Maboroshi Fuyu Kaikitan,SAT,Bandai  ,Bandai  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,27th Dec 96  ,N/A
355,Gekirindan: Time Travel Shooting,SAT,Taito  ,Taito  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,18th Apr 97  ,N/A
356,Gensou Suikoden,SAT,Konami  ,KCET  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th Sep 98  ,N/A
357,Gex,SAT,Crystal Dynamics  ,Crystal Dynamics  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96  ,N/A
358,Ghen War,SAT,Sega  ,Jumpin' Jack Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th May 95  ,N/A
359,Godzilla: Rettou Kaimetsu,SAT,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Dec 95  ,N/A
360,Goiken Muyou: Anarchy in the Nippon,SAT,KSS  ,KSS  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,02nd Oct 97  ,N/A
361,Gradius Deluxe Pack,SAT,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Mar 96  ,N/A
362,Grand Slam,SAT,Virgin Interactive  ,Burst Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96  ,N/A
363,Grandia Digital Museum,SAT,ESP  ,Game Arts  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th May 98  ,N/A
364,Grandia Prelude,SAT,Game Arts  ,Game Arts  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 97  ,N/A
365,Grid Runner,SAT,Virgin Interactive  ,Radical Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Nov 96  ,N/A
366,Groove on Fight,SAT,Atlus  ,Atlus Co.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,16th May 97  ,N/A
