position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
565,Pirates of the Caribbean: At World's End,X360,Disney Interactive Studios  ,Eurocom Entertainment Software  ,N/A  ,N/A  ,N/A  ,N/A,0.34m,0.29m,0.02m,N/A,0.03m,22nd May 07  ,N/A
566,Harry Potter and the Deathly Hallows - Part 2,X360,Electronic Arts  ,EA Bright Light  ,N/A  ,4.8  ,N/A  ,N/A,0.33m,0.19m,0.11m,N/A,0.03m,12th Jul 11  ,N/A
567,Dead or Alive 5,X360,Tecmo Koei  ,Team Ninja  ,N/A  ,7.6  ,N/A  ,N/A,0.33m,0.20m,0.08m,0.03m,0.03m,25th Sep 12  ,23rd Jan 18
568,Ninja Blade,X360,Microsoft  ,From Software  ,N/A  ,6.7  ,N/A  ,N/A,0.33m,0.14m,0.14m,0.02m,0.03m,07th Apr 09  ,N/A
569,The King of Fighters XIII,X360,Atlus  ,SNK Playmore Corporation  ,N/A  ,N/A  ,N/A  ,N/A,0.33m,0.23m,0.07m,0.01m,0.03m,22nd Nov 11  ,N/A
570,Fracture,X360,LucasArts  ,Day 1 Studios  ,N/A  ,4.0  ,N/A  ,N/A,0.33m,0.15m,0.14m,0.00m,0.04m,07th Oct 08  ,N/A
571,Virtua Tennis 2009,X360,Sega  ,Sumo Digital  ,N/A  ,N/A  ,N/A  ,N/A,0.33m,0.12m,0.18m,N/A,0.03m,09th Jun 09  ,N/A
572,Minute to win it,X360,Zoo Games  ,Zoo Entertainment Inc.  ,N/A  ,N/A  ,N/A  ,N/A,0.33m,0.30m,N/A,N/A,0.03m,18th Oct 11  ,N/A
573,Naruto: Rise of a Ninja,X360,Ubisoft  ,Ubisoft Montreal  ,N/A  ,7.8  ,N/A  ,N/A,0.33m,0.29m,0.01m,N/A,0.03m,30th Oct 07  ,N/A
574,Resonance of Fate,X360,Sega  ,tri-Ace  ,8.0  ,7.4  ,N/A  ,N/A,0.33m,0.12m,0.13m,0.06m,0.03m,16th Mar 10  ,N/A
575,Sniper Elite III,X360,505 Games  ,Rebellion Developments  ,N/A  ,N/A  ,N/A  ,N/A,0.33m,0.18m,0.12m,N/A,0.03m,01st Jul 14  ,22nd Sep 18
576,DECA Sports Freedom,X360,Hudson Soft  ,Hudson Soft  ,N/A  ,3.0  ,N/A  ,N/A,0.33m,0.27m,0.04m,N/A,0.02m,18th Nov 10  ,N/A
577,Golden Axe: Beast Rider,X360,Sega  ,Secret Level  ,N/A  ,4.0  ,7.0  ,N/A,0.33m,0.19m,0.11m,N/A,0.03m,14th Oct 08  ,N/A
578,NCAA Basketball 10,X360,Electronic Arts  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,0.32m,0.30m,N/A,N/A,0.03m,17th Nov 09  ,N/A
579,Final Fantasy XI: Wings of the Goddess,X360,Square Enix  ,Square Enix  ,N/A  ,6.5  ,N/A  ,N/A,0.32m,0.28m,0.00m,0.02m,0.03m,20th Nov 07  ,N/A
580,Silent Hill: Downpour,X360,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,N/A,0.32m,0.22m,0.08m,N/A,0.03m,13th Mar 12  ,N/A
581,Battlestations: Pacific,X360,Eidos Interactive  ,Eidos Studios Hungary  ,N/A  ,N/A  ,N/A  ,N/A,0.32m,0.17m,0.11m,0.01m,0.03m,12th May 09  ,N/A
582,The Black Eyed Peas Experience,X360,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,N/A,0.32m,0.20m,0.10m,N/A,0.03m,08th Nov 11  ,N/A
583,Eternal Sonata,X360,Namco Bandai  ,Tri-Crescendo  ,N/A  ,7.9  ,N/A  ,N/A,0.32m,0.19m,0.04m,0.08m,0.02m,17th Sep 07  ,N/A
584,Overlord II,X360,Codemasters  ,Triumph Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.32m,0.15m,0.14m,N/A,0.03m,23rd Jun 09  ,N/A
585,Dance Dance Revolution Universe,X360,Konami  ,Bemani  ,N/A  ,N/A  ,N/A  ,N/A,0.32m,0.30m,N/A,N/A,0.02m,27th Feb 07  ,N/A
586,Beautiful Katamari,X360,Namco Bandai  ,Now Production  ,N/A  ,7.3  ,N/A  ,N/A,0.32m,0.14m,0.02m,0.15m,0.02m,16th Oct 07  ,N/A
587,Tony Hawk's American Wasteland,X360,Activision  ,Neversoft Entertainment  ,N/A  ,8.2  ,N/A  ,N/A,0.32m,0.28m,0.01m,N/A,0.03m,16th Nov 05  ,N/A
588,"Carnival Games: Monkey See, Monkey Do!",X360,2K Play  ,Take-Two Interactive  ,N/A  ,N/A  ,N/A  ,N/A,0.32m,0.14m,0.15m,N/A,0.03m,05th Apr 11  ,N/A
589,Prey,X360,2K Games  ,Venom Games / Human Head Studios  ,N/A  ,8.2  ,N/A  ,N/A,0.32m,0.27m,0.03m,N/A,0.02m,11th Jul 06  ,N/A
590,Cabela's Dangerous Hunts 2011,X360,Activision  ,Cauldron  ,N/A  ,N/A  ,N/A  ,N/A,0.32m,0.28m,0.01m,N/A,0.02m,19th Oct 10  ,N/A
