position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
112,The Crew,XOne,Ubisoft  ,Ubisoft Reflections  ,N/A  ,N/A  ,N/A  ,N/A,0.71m,0.32m,0.34m,N/A,0.06m,02nd Dec 14  ,04th Jan 18
113,Plants vs Zombies: Garden Warfare,XOne,Electronic Arts  ,PopCap Games  ,N/A  ,7.6  ,N/A  ,N/A,0.71m,0.39m,0.25m,0.00m,0.06m,25th Feb 14  ,05th Feb 18
114,Need for Speed Rivals,XOne,Electronic Arts  ,Ghost Games  ,N/A  ,N/A  ,N/A  ,N/A,0.70m,0.45m,0.19m,N/A,0.07m,22nd Nov 13  ,16th Jan 18
115,Wolfenstein II: The New Colossus,XOne,Bethesda Softworks  ,MachineGames  ,N/A  ,N/A  ,N/A  ,N/A,0.70m,0.45m,0.19m,N/A,0.07m,27th Oct 17  ,N/A
116,The Evil Within,XOne,Bethesda Softworks  ,Tango Gameworks  ,N/A  ,7.9  ,N/A  ,N/A,0.69m,0.36m,0.27m,0.00m,0.06m,14th Oct 14  ,13th Mar 18
117,LEGO Worlds,XOne,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,N/A  ,N/A  ,N/A  ,N/A,0.69m,0.28m,0.35m,N/A,0.05m,07th Mar 17  ,N/A
118,Borderlands: The Handsome Collection,XOne,2K Games  ,Gearbox Software  ,N/A  ,N/A  ,N/A  ,N/A,0.68m,0.49m,0.13m,N/A,0.07m,24th Mar 15  ,N/A
119,Evolve,XOne,2K Games  ,Turtle Rock Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.67m,0.40m,0.20m,N/A,0.06m,10th Feb 15  ,10th May 18
120,WWE 2K18,XOne,2K Sports  ,Yuke's  ,N/A  ,N/A  ,N/A  ,N/A,0.66m,0.35m,0.25m,N/A,0.06m,17th Oct 17  ,N/A
121,Tomb Raider: Definitive Edition,XOne,Square Enix  ,Crystal Dynamics  ,N/A  ,N/A  ,N/A  ,N/A,0.66m,0.38m,0.22m,N/A,0.06m,28th Jan 14  ,13th Jun 18
122,Spyro Reignited Trilogy,XOne,Activision  ,Toys for Bob  ,N/A  ,N/A  ,N/A  ,N/A,0.65m,0.36m,0.24m,N/A,0.06m,13th Nov 18  ,08th Apr 18
123,The LEGO Movie Videogame,XOne,Warner Bros. Interactive Entertainment  ,TT Fusion  ,N/A  ,N/A  ,N/A  ,N/A,0.65m,0.42m,0.17m,N/A,0.06m,07th Feb 14  ,20th Mar 18
124,Crash Bandicoot N. Sane Trilogy,XOne,Activision  ,Vicarious Visions  ,N/A  ,N/A  ,N/A  ,N/A,0.65m,0.23m,0.37m,N/A,0.05m,29th Jun 18  ,07th Nov 18
125,WWE 2K16,XOne,Take-Two Interactive  ,Yuke's  ,N/A  ,N/A  ,N/A  ,N/A,0.63m,0.34m,0.24m,N/A,0.06m,27th Oct 15  ,11th Apr 18
126,Kinect Sports Rivals,XOne,Microsoft Studios  ,Rare Ltd.  ,N/A  ,N/A  ,N/A  ,N/A,0.62m,0.30m,0.25m,0.02m,0.05m,08th Apr 14  ,25th Sep 18
127,South Park: The Fractured But Whole,XOne,Ubisoft  ,Ubisoft San Francisco  ,N/A  ,N/A  ,N/A  ,N/A,0.62m,0.40m,0.17m,N/A,0.06m,17th Oct 17  ,06th Apr 18
128,WWE 2K15,XOne,2K Sports  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,N/A,0.61m,0.32m,0.23m,N/A,0.05m,18th Nov 14  ,06th Jan 18
129,EA Sports UFC 2,XOne,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,0.61m,0.36m,0.19m,N/A,0.06m,15th Mar 16  ,20th Apr 18
130,NHL 17,XOne,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,0.60m,0.52m,0.01m,N/A,0.06m,13th Sep 16  ,N/A
131,Tekken 7,XOne,Namco Bandai Games  ,Namco Bandai Games  ,N/A  ,N/A  ,N/A  ,N/A,0.58m,0.30m,0.23m,N/A,0.05m,02nd Jun 17  ,15th Jan 18
132,LEGO Marvel Super Heroes 2,XOne,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,N/A  ,N/A  ,N/A  ,N/A,0.57m,0.32m,0.20m,N/A,0.05m,14th Nov 17  ,11th Feb 18
133,WWE 2K17,XOne,2K Games  ,Yuke's  ,N/A  ,N/A  ,N/A  ,N/A,0.57m,0.26m,0.26m,N/A,0.05m,11th Oct 16  ,05th Apr 18
134,Disney Infinity 2.0: Marvel Super Heroes,XOne,Disney Interactive Studios  ,Avalanche Software  ,N/A  ,N/A  ,N/A  ,N/A,0.55m,0.35m,0.15m,N/A,0.05m,23rd Sep 14  ,06th Feb 18
135,Just Dance 2015,XOne,Ubisoft  ,Ubisoft Paris  ,N/A  ,8.1  ,N/A  ,N/A,0.54m,0.36m,0.13m,N/A,0.05m,21st Oct 14  ,03rd Apr 18
136,Dragon Ball FighterZ,XOne,Namco Bandai Games  ,Arc System Works  ,N/A  ,N/A  ,N/A  ,N/A,0.52m,0.38m,0.09m,N/A,0.05m,26th Jan 18  ,02nd Apr 18
137,Alien: Isolation,XOne,Sega  ,Creative Assembly  ,N/A  ,N/A  ,N/A  ,N/A,0.52m,0.23m,0.25m,N/A,0.04m,07th Oct 14  ,05th Jan 18
138,Halo Wars 2,XOne,Microsoft Studios  ,Creative Assembly  ,N/A  ,N/A  ,N/A  ,N/A,0.51m,0.31m,0.15m,N/A,0.05m,21st Feb 17  ,24th Feb 18
139,NHL 16,XOne,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,0.51m,0.41m,0.05m,N/A,0.05m,15th Sep 15  ,N/A
140,Lego Star Wars: The Force Awakens,XOne,Warner Bros. Interactive Entertainment  ,TT Fusion  ,N/A  ,N/A  ,N/A  ,N/A,0.50m,0.24m,0.22m,N/A,0.04m,28th Jun 16  ,31st Mar 18
141,Mad Max (2013),XOne,Warner Bros. Interactive Entertainment  ,Avalanche Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.50m,0.29m,0.16m,N/A,0.05m,01st Sep 15  ,05th Jan 18
142,LEGO Marvel's Avengers,XOne,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,N/A  ,N/A  ,N/A  ,N/A,0.48m,0.26m,0.18m,N/A,0.04m,26th Jan 16  ,06th Apr 18
143,WWE 2K19,XOne,2K Sports  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,N/A,0.48m,0.30m,0.14m,N/A,0.04m,09th Oct 18  ,22nd Jun 18
144,Zoo Tycoon (2013),XOne,Microsoft Studios  ,Frontier Developments  ,N/A  ,N/A  ,N/A  ,N/A,0.48m,0.25m,0.18m,N/A,0.04m,22nd Nov 13  ,25th Sep 18
145,Steep,XOne,Ubisoft  ,Ubisoft Annecy  ,N/A  ,N/A  ,N/A  ,N/A,0.48m,0.24m,0.20m,N/A,0.04m,02nd Dec 16  ,N/A
146,Thief,XOne,Square Enix  ,Eidos Montreal  ,N/A  ,N/A  ,N/A  ,N/A,0.48m,0.26m,0.17m,N/A,0.04m,25th Feb 14  ,04th Jan 18
147,Just Dance 2014,XOne,Ubisoft  ,Ubisoft Paris  ,N/A  ,N/A  ,N/A  ,N/A,0.48m,0.31m,0.12m,N/A,0.04m,22nd Nov 13  ,08th Mar 18
148,EA Sports UFC,XOne,Electronic Arts  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,0.48m,0.30m,0.13m,N/A,0.04m,17th Jun 14  ,05th Jan 18
