position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
982,Yuusha no Kiroku.,PSV,Sony Computer Entertainment  ,SCE Japan Studio  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,19th Apr 12  ,16th Sep 18
983,Z-Run,PSV,Beatshapers  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jul 14  ,N/A
984,Zen Pinball 2,PSV,Zen Studios  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th Sep 12  ,N/A
985,Zone of the Enders HD Collection,PSV,Konami  ,Kojima Productions  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Dec 12  ,N/A
986,99Vidas,PSV,Unknown  ,QUByte Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,08th Mar 19
987,A Winter's Daydream,PSV,Unknown  ,Evgeniy Kolpakov  ,7.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,06th Oct 19
988,Alvastia Chronicles,PSV,Kemco  ,Exe Create Inc.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Feb 19  ,24th Mar 19
989,Anonymous;Code,PSV,5pb  ,5pb. Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,26th Jun 19
990,Aokana: Four Rhythm Across the Blue,PSV,Sprite  ,Sprite  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Feb 16  ,11th May 20
991,Asdivine Dios,PSV,Kemco  ,Kemco  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,05th Jun 19  ,09th Jun 19
992,Asdivine Hearts II,PSV,Kemco  ,Exe Create Inc.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,15th Jan 19  ,23rd Mar 19
993,Bard's Gold,PSV,Pixel Lantern  ,Pixel Lantern  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th Jun 16  ,28th Apr 19
994,Bentley's Hackpack,PSV,Sony Computer Entertainment  ,Sony Computer Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,05th Feb 13  ,12th Apr 18
995,Bloodstained: Curse of the Moon,PSV,Inti Creates  ,Inti Creates  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th May 18  ,05th Jun 18
996,Boku to Nurse no Kenshuu Nisshi,PSV,Entergram  ,Entergram  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,23rd Aug 18  ,26th Sep 18
997,Bouncy Bullets,PSV,Ratalaika Games  ,Ratalaika Games  ,6.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Jul 19  ,13th Jul 19
998,Catherine: Full Body,PSV,Atlus  ,Atlus  ,8.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,14th Feb 19  ,08th Apr 19
999,Corpse Party: Blood Drive,PSV,Xseed Games  ,Team GrisGris  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,13th Oct 15  ,31st Mar 18
1000,Coven and the Labyrinth of Galleria,PSV,Unknown  ,Nippon Ichi Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,07th May 19
1001,Crypt of the NecroDancer,PSV,Brace Yourself Games  ,Brace Yourself Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,02nd Feb 16  ,06th Aug 18
1002,Deception IV: Blood Ties,PSV,Tecmo Koei  ,Tecmo Koei Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Mar 14  ,01st Aug 18
1003,Demon's Tier+,PSV,EastAsiaSoft  ,Diabolical Mind  ,7.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Jun 20  ,17th Jun 20
1004,Dex,PSV,Dreadlocks Ltd  ,Dreadlocks Ltd  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,20th Dec 16  ,06th Aug 18
1005,DISTRAINT: Deluxe Edition,PSV,Unknown  ,Jesse Makkonen  ,7.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,26th Sep 19
1006,Emerald Shores,PSV,Unknown  ,Fordesoft  ,5.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,16th Mar 19
1007,Eve: Rebirth Terror,PSV,El Dia  ,El Dia  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Apr 19  ,23rd Mar 19
1008,flOw,PSV,Sony Computer Entertainment  ,SuperVillain Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th Dec 13  ,23rd Sep 18
1009,Full Kiss,PSV,Entergram  ,Giga  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Mar 19  ,23rd Mar 19
1010,Gal*Gunvolt,PSV,Inti Creates  ,Inti Creates  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,06th Aug 15  ,26th Nov 18
1011,Gnosia,PSV,Unknown  ,Petit Depotto  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,07th May 19
1012,Gods of Almagest,PSV,Unknown  ,Arrayansoft  ,3.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,27th Feb 21
1013,Grisaia Phantom Trigger 01 & 02,PSV,Prototype  ,Prototype  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,21st Dec 17  ,25th Aug 18
1014,Hakuoki: Edo Blossoms,PSV,Idea Factory  ,Otomate  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th Apr 18  ,08th Jan 18
1015,Halloween Forever,PSV,Unknown  ,Imaginary Monsters  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,27th Oct 18
1016,Haruoto Alice ＊ Gram Snow Drop,PSV,Entergram  ,NanaWind  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Mar 19  ,23rd Mar 19
1017,Hatoful Boyfriend,PSV,Devolver Digital  ,Mediatonic Ltd.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,21st Jul 15  ,07th Aug 18
1018,Hue,PSV,Unknown  ,Fiddlesticks  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,16th Dec 20
1019,Iconoclasts,PSV,Bifrost Entertainment  ,Joakim Sandberg  ,7.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,23rd Jan 18  ,23rd Jan 18
1020,Joe Danger,PSV,Unknown  ,Hello Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,12th Aug 19
1021,Karigurashi Renai,PSV,Entergram  ,ASa Project  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,21st Feb 19  ,09th Mar 19
1022,Kenka Bancho Otome: 2nd Rumble!!,PSV,Spike Chunsoft  ,RED Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,14th Mar 19  ,22nd Mar 19
1023,Kono Subarashii Sekai ni Shukufuku o! Kibo no Meikyu to Tsudoishi Bokenshatachi,PSV,Entergram  ,Entergram  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,27th Jun 19  ,06th May 19
1024,La Corda d'Oro: Octave,PSV,Koei Tecmo  ,Ruby Party  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,14th Feb 19  ,24th Feb 19
1025,Lara Croft Go,PSV,Unknown  ,Square Enix  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,25th May 19
1026,LittleBigPlanet PS Vita: Marvel Super Hero Edition,PSV,Sony Computer Entertainment  ,Tarsier Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,18th Nov 14  ,23rd Sep 18
1027,Memories Off: Innocent Fille for Dearest,PSV,5pb  ,5pb. Inc.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Mar 19  ,22nd Mar 19
1028,Metal Gear Solid 2: Sons of Liberty HD Edition,PSV,Konami Digital Entertainment  ,Armature Studio  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,21st Aug 12  ,12th Sep 18
1029,Muv-Luv,PSV,PQube  ,5pb. Inc.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Jun 18  ,22nd Apr 19
1030,Muv-Luv Alternative,PSV,PQube  ,5pb. Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Jun 18  ,22nd Apr 19
1031,My Aunt is a Witch,PSV,Unknown  ,Sometimes You  ,4.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,01st Dec 20
1032,My Big Sister,PSV,Unknown  ,Stranga  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,18th May 19
