position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
963,Super Double Yakuman II,SNES,Vap  ,Vap  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,14th Mar 97  ,N/A
964,Super Famicom Wars,SNES,Nintendo  ,Intelligent Systems  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st May 98  ,N/A
965,Super Family Circuit,SNES,Namco  ,Game Studio  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,21st Oct 94  ,N/A
966,Super Family Gerende,SNES,Namco  ,Namco  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Feb 98  ,N/A
967,Super Famista 2,SNES,Namco  ,Namco  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Mar 93  ,N/A
968,Super Fire ProWrestling 2,SNES,Human Entertainment  ,Human Club  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Dec 92  ,N/A
969,Super Fire ProWrestling III Easy Type,SNES,Human Entertainment  ,Human Club  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th Feb 94  ,N/A
970,Super Fire ProWrestling III Final Bout,SNES,Human Entertainment  ,Human Club  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Dec 93  ,N/A
971,Super Fire ProWrestling Queen's Special,SNES,Human Entertainment  ,Human Club  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Jun 95  ,N/A
972,Super Fire ProWrestling X Premium,SNES,Human Entertainment  ,Human Club  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Mar 96  ,N/A
973,Super Formation Soccer 94: World Cup Final Data,SNES,Human Entertainment  ,Human Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Sep 94  ,N/A
974,Super Formation Soccer 95: della Serie A,SNES,Human Entertainment  ,Human Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Mar 95  ,N/A
975,Super Formation Soccer 96: World Club Edition,SNES,Human Entertainment  ,Human Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Mar 96  ,N/A
976,Super Formation Soccer II,SNES,Human Entertainment  ,Human Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,11th Jun 93  ,N/A
977,Super Game Boy,SNES,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,14th Jun 94  ,N/A
978,Super Godzilla,SNES,TOHO  ,"Toho Co., Ltd.  ",N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jul 94  ,N/A
979,Super High Impact,SNES,Acclaim Entertainment  ,Beam Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 93  ,N/A
980,Super International Cricket,SNES,Nintendo  ,Beam Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 94  ,N/A
981,Super James Pond,SNES,American Softworks  ,Vectordean  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 93  ,N/A
982,Super Jinsei Game,SNES,Takara  ,Takara  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,18th Mar 94  ,N/A
983,Super Jinsei Game 3,SNES,Takara  ,Takara  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Nov 96  ,N/A
984,Super Kyousouba: Kaze no Silpheed,SNES,King Records  ,King Records  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,08th Oct 93  ,N/A
985,Super Mahjong,SNES,I'Max  ,I'Max  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Aug 92  ,N/A
986,Super Mahjong 3: Karakuchi,SNES,I'Max  ,I'Max  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Nov 94  ,N/A
987,Super Mario All-Stars and Super Mario World,SNES,Nintendo  ,Nintendo EAD  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 94  ,N/A
988,Super Momotarou Dentetsu II,SNES,Hudson Soft  ,Hudson Soft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,07th Aug 92  ,N/A
989,Super Naxat Open: Golf de Shoubu da! Dorabocchan,SNES,Naxat Soft  ,Naxat Soft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,18th Mar 94  ,N/A
990,Super Ninja Boy,SNES,Culture Brain  ,Culture Brain  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Apr 93  ,N/A
