position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
72,Resident Evil Re:Verse,XS,Unknown  ,Capcom  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,01st Feb 21
73,Roots of Pacha,XS,Crytivo Games  ,Soda Den  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,16th Jun 20
74,S.T.A.L.K.E.R. 2,XS,GSC Game World  ,GSC Game World  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,23rd Jul 20
75,Scarlet Nexus,XS,Bandai Namco Entertainment  ,Bandai Namco Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,07th May 20
76,Scorn,XS,Unknown  ,Ebb Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,07th May 20
77,Second Extinction,XS,Systemic Reaction  ,Systemic Reaction  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,07th May 20
78,Senua's Saga: Hellblade 2,XS,Xbox Game Studios  ,Ninja Theory  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,13th Dec 19
79,Sherlock Holmes: Chapter One,XS,Frogwares  ,Frogwares  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,16th Jun 20
80,Starfield,XS,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,17th Jun 20
81,State of Decay 3,XS,Xbox Game Studios  ,Undead Labs  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,23rd Jul 20
82,Suicide Squad: Kill the Justice League,XS,Warner Bros. Interactive Entertainment  ,Rocksteady Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,22nd Aug 20
83,Tell Me Why,XS,Xbox Game Studios  ,DONTNOD Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,23rd Jul 20
84,Tetris Effect Connected,XS,Enhance  ,"Tetris Online, Inc  ",N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,10th Nov 20  ,23rd Jul 20
85,The Ascent,XS,Curve Digital  ,Neon Giant  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,07th May 20
86,The Falconeer,XS,Unknown  ,Tomas Sala  ,6.5  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,09th Dec 20
87,The Gunk,XS,Thunderful Publishing AB  ,Image & Form Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,23rd Jul 20
88,The Lord of the Rings: Gollum,XS,Daedalic Entertainment  ,Daedalic Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,10th Jan 20
89,The Medium,XS,Bloober Team  ,Bloober Team  ,7.5  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,07th May 20
90,Tom Clancy's Rainbow Six: Quarantine,XS,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,17th Jun 20
91,Tom Clancy's Rainbow Six: Siege,XS,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,17th Jun 20
92,Ultimate Fishing Simulator 2,XS,Ultimate Games  ,MasterCode  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,17th Jun 20
93,Vampire: The Masquerade - Bloodlines 2,XS,Paradox Interactive   ,Paradox Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,07th May 20
94,Warframe,XS,Digital Extremes  ,Digital Extremes  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,17th Jun 20
95,"Warhammer 40,000: Darktide",XS,Fatshark  ,Fatshark AB  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,23rd Jul 20
96,Watch Dogs Legion,XS,Ubisoft  ,Ubisoft Toronto  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,10th Nov 20  ,17th Jun 20
97,WRC 9,XS,Nacon  ,Kylotonn  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,17th Jun 20
98,Yakuza: Like A Dragon,XS,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,10th Nov 20  ,07th May 20
